Time (day), Net assimilation rate (mol.m-1.day-1), Elapsed assimilation rate (mol.m-2), Canopy conductance (mol.m-2.day-1), Evapo/Transpiration (mol.m-2.day-1), Cumulative evapo/transpiration (mol.m-2), leaf area index (m2.m-2),Air temperature (oC), Daily mean temperature (oC), Daily highest temperature (oC), Daily lowest temperature (oC), Elapsed thermal time (days), Elapased thermal time (hours), Relative Humidity, Leaf biomass (g.m-2), Stem biomass (g.m-2), Standing dead (g.m-2), Surface litter dead (g.m-2), Seed (g.m-2), Pod (g.m-2), Structual root (g.m-2), Fine root (g.m-2), Storage (g.m-2), Root dead material (g.m-2)
143.0,0.4524785068026504,3.167561734996402,13.322265901335888,0.0460400479383656,0.308522792186757,0.7644417616184737,9.800961645620854,15.784951093654108,23.327604718628535,8.24229746867968,239.80341739473008,5755.282017473522,0.7,38.22208808092368,20.763187162668725,0.0,0.0,0.0,0.0,8.935620626603264,6.258762663367773,0.0,0.0
144.0,0.5105076880137891,3.678069423010191,15.289077240473928,0.05258828000167213,0.36111107218842914,0.8745359872472784,9.988112447048703,16.022319838089594,23.628271794913488,8.416367881265701,253.53699666601926,6084.887919984462,0.7,43.72679936236392,23.892106043171545,0.0,0.0,0.0,0.0,9.97859358677087,6.759190961680521,0.0,0.0
145.0,0.5706403198583154,4.248709742868506,17.49098513799374,0.0598262693193509,0.42093734150778006,0.9856940305228842,10.17385624471488,16.25790403918475,23.926678449634018,8.589129628735485,268.3092659236345,6439.422382167228,0.7,49.28470152614421,27.9463523599136,0.0,0.0,0.0,0.0,11.1369496772686,7.3149811780585505,0.0,0.0
146.0,0.624183601433354,4.87289334430186,19.71416767231625,0.06709911745104608,0.48803645895882614,1.1067077560121918,10.358137998723443,16.491633888256466,24.22273625845819,8.76053151805474,283.2862582439541,6798.870197854898,0.7,55.33538780060959,32.36006311248429,0.0,0.0,0.0,0.0,12.398009892288796,7.920049805505088,0.0,0.0
147.0,0.6791120195444923,5.5520053638463525,22.13446379840508,0.07495232264611384,0.5629887816049399,1.2378310524922609,10.540903102413564,16.72344012610616,24.5163574930678,8.930522759144516,298.46628874341525,7163.190929841966,0.7,61.89155262461304,37.14249833829454,0.0,0.0,0.0,0.0,13.764419956806009,8.575666287905435,0.0,0.0
148.0,0.731804365614276,6.2838097294606285,24.756951050960573,0.08339259534602594,0.6463813769509659,1.3448534987375678,10.72209739854062,16.953254063542765,24.80745514715417,9.099052979931361,313.84761237386084,7532.342696972661,0.7,67.24267493687839,40.077392674679444,0.0,0.0,0.0,0.0,18.90048504547959,9.279761328992981,1.384784082018057,0.0
149.0,0.7316005804981819,7.015410309958811,26.89741579201525,0.09023503988210531,0.7366164168330712,1.4518309427591312,10.901667195324173,17.181007601736827,25.09594296219998,9.266072241273672,329.42842443963474,7906.282186551234,0.7,72.59154713795655,43.01105290760079,0.0,0.0,0.0,0.0,24.034390453091948,9.983560302819056,1.384201789561831,0.0
150.0,0.7282292237399697,7.74363953369878,29.036979239286968,0.10979340620399054,0.8464098230370618,1.558319503128649,11.079559282358009,17.406633252399658,25.381735453039568,9.431531051759748,346.0434110956474,8305.041866295538,0.7,77.91597515643245,45.931306402852826,0.0,0.0,0.0,0.0,29.144834069783006,10.684142936829044,1.3778760296576005,0.0
151.0,0.7201227656973239,8.463762299396103,31.16676380241475,0.1174043209996846,0.9638141440367464,1.6636557005148753,11.25572094637751,17.630064157781568,25.664747933189986,9.59538038237315,362.8681320687715,8708.835169650516,0.7,83.18278502574377,48.819958456428125,0.0,0.0,0.0,0.0,34.199975163539776,11.377144235422639,1.3629653826676082,0.0
152.0,0.7115717537931506,9.175334053189253,33.27349991465064,0.12377783861725015,1.0875919826539966,1.7677774143341085,11.430099986879746,17.851234110483254,25.944896539945454,9.757571681021053,379.9004650054965,9117.611160131917,0.7,88.38887071670543,51.675305525232,0.0,0.0,0.0,0.0,39.19683253394655,12.062155510549173,1.3472509454588946,0.0
153.0,0.6970734875708485,9.872407540760102,35.3559452617612,0.13087262332353505,1.2184646059775317,1.869851411418775,11.602644731591607,18.070077573074492,26.222098259227693,9.918056886921294,397.13822603240646,9531.317424777755,0.7,93.49257057093875,54.47449771758103,0.0,0.0,0.0,0.0,44.09541887055735,12.733694965053559,1.3207551435220737,0.0
154.0,0.6830605547926301,10.555468095552733,37.39743519200377,0.13775653551397013,1.3562211414915017,1.969946018723045,11.773304051781425,18.286529697514297,26.496270950184776,10.076788444843817,415.4247557299208,9970.194137518098,0.7,98.49730093615226,57.219408774899115,0.0,0.0,0.0,0.0,48.899013220864,13.392212118371125,1.2951434372289898,0.0
155.0,0.663581347796784,11.219049443349517,39.39933635381086,0.1444374248074315,1.5006585662989331,2.0672955228638985,11.942027377409483,18.50052634436676,26.76733336953123,10.233719319202292,433.9252820742875,10414.2067697829,0.7,103.36477614319493,59.88904041178014,0.0,0.0,0.0,0.0,53.57086858540578,14.032669382455687,1.2596240177281155,0.0
156.0,0.6452069428674803,11.864256386216997,41.34633450436086,0.1508680958160077,1.651526662114941,2.16205516732441,12.108764712113059,18.71200410180701,27.035205195622215,10.388803007991807,452.6372861760945,10863.294868226269,0.7,108.1027583662205,62.48764989607042,0.0,0.0,0.0,0.0,58.118435182913785,14.656088096011684,1.2261133236090744,0.0
